,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Normal,1,1,1,1,1,1,1,1,1,1,1,1,½,0,1,1,½,1
Fire,1,½,½,1,2,2,1,1,1,1,1,2,½,1,½,1,2,1
Water,1,2,½,1,½,1,1,1,2,1,1,1,2,1,½,1,1,1
Electric,1,1,2,½,½,1,1,1,0,2,1,1,1,1,½,1,1,1
Grass,1,½,2,1,½,1,1,½,2,½,1,½,2,1,½,1,½,1
Ice,1,½,½,1,2,½,1,1,2,2,1,1,1,1,2,1,½,1
Fighting,2,1,1,1,1,2,1,½,1,½,½,½,2,0,1,2,2,½
Poison,1,1,1,1,2,1,1,½,½,1,1,1,½,½,1,1,0,2
Ground,1,2,1,2,½,1,1,2,1,0,1,½,2,1,1,1,2,1
Flying,1,1,1,½,2,1,2,1,1,1,1,2,½,1,1,1,½,1
Psychic,1,1,1,1,1,1,2,2,1,1,½,1,1,1,1,0,½,1
Bug,1,½,1,1,2,1,½,½,1,½,2,1,1,½,1,2,½,½
Rock,1,2,1,1,1,2,½,1,½,2,1,2,1,1,1,1,½,1
Ghost,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,½,1,1
Dragon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,½,0
Dark,1,1,1,1,1,1,½,1,1,1,2,1,1,2,1,½,1,½
Steel,1,½,½,½,1,2,1,1,1,1,1,1,2,1,1,1,½,2
Fairy,1,½,1,1,1,1,2,½,1,1,1,1,1,1,2,2,½,1
